"ID","Pred"
"2018_1104_1112",0.341545051031484
"2018_1104_1113",0.538837203697802
"2018_1104_1116",0.42591877800585
"2018_1104_1120",0.34707342922731
"2018_1104_1137",0.589954622966066
"2018_1104_1138",0.567995654873451
"2018_1104_1139",0.516778963275425
"2018_1104_1153",0.327550720650307
"2018_1104_1155",0.389779551102984
"2018_1104_1158",0.583325888605294
"2018_1104_1166",0.488234674584087
"2018_1104_1168",0.637195812248809
"2018_1104_1172",0.512507593704952
"2018_1104_1181",0.324280125448472
"2018_1104_1196",0.404796524708488
"2018_1104_1199",0.515808318118527
"2018_1104_1209",0.591110533577009
"2018_1104_1211",0.327466096253162
"2018_1104_1222",0.362388717150426
"2018_1104_1233",0.598133025340856
"2018_1104_1242",0.333660381135032
"2018_1104_1243",0.520695336027802
"2018_1104_1246",0.406195878233126
"2018_1104_1252",0.63173563020017
"2018_1104_1254",0.635676312027236
"2018_1104_1260",0.504171239148553
"2018_1104_1267",0.609691307121063
"2018_1104_1274",0.41400031290292
"2018_1104_1276",0.339956264519466
"2018_1104_1277",0.330492644527689
"2018_1104_1281",0.490027665985771
"2018_1104_1285",0.588635120755569
"2018_1104_1293",0.526378336851047
"2018_1104_1300",0.623046982944764
"2018_1104_1301",0.504794290642655
"2018_1104_1305",0.395766900162462
"2018_1104_1308",0.537052086551098
"2018_1104_1314",0.336995450233958
"2018_1104_1326",0.362141929543811
"2018_1104_1328",0.54018941311845
"2018_1104_1335",0.604712044864693
"2018_1104_1344",0.518752647367246
"2018_1104_1345",0.345512030184312
"2018_1104_1347",0.617202087650434
"2018_1104_1348",0.417722485322112
"2018_1104_1355",0.537266155488859
"2018_1104_1361",0.524337621705585
"2018_1104_1371",0.475693437884762
"2018_1104_1372",0.59481513222197
"2018_1104_1382",0.521537856568097
"2018_1104_1393",0.552950588534681
"2018_1104_1395",0.397899108552114
"2018_1104_1397",0.353690357917421
"2018_1104_1400",0.519767970380137
"2018_1104_1401",0.432506813096144
"2018_1104_1403",0.345878563962222
"2018_1104_1411",0.651300799122168
"2018_1104_1417",0.530541634574257
"2018_1104_1420",0.596395816826216
"2018_1104_1422",0.584441671501611
"2018_1104_1437",0.325278284240819
"2018_1104_1438",0.353261017882887
"2018_1104_1439",0.47045274801037
"2018_1104_1452",0.347171605695688
